Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_,_3P,_3PA,_3P_,_2P,_2PA,_2P_,FT,FTA,FT_,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,string_field_29,ORtg,DRtg
66,MarShon Brooks\brookma01,SG,25,GSW,7,0,15,16.6,43.2,0.385,0.0,6.7,0.0,16.6,36.6,0.455,10.0,13.3,0.75,3.3,13.3,16.6,0.0,3.3,0.0,0.0,0.0,43.2,,96,97
66,MarShon Brooks\brookma01,SG,25,LAL,18,0,228,9.2,18.8,0.489,2.3,4.1,0.579,6.8,14.7,0.464,3.8,5.5,0.692,1.7,4.7,6.4,4.5,2.6,0.6,3.6,3.4,24.5,,105,110
106,Jordan Crawford\crawfjo02,SG,25,GSW,42,0,661,10.5,25.1,0.417,3.0,9.7,0.313,7.5,15.5,0.483,2.7,3.2,0.837,0.8,4.0,4.8,4.3,1.0,0.2,3.8,3.3,26.7,,96,107
171,Eric Gordon\gordoer01,SG,25,NOP,64,64,2057,9.0,20.7,0.436,2.6,6.5,0.391,6.5,14.2,0.456,4.4,5.6,0.785,0.8,3.4,4.2,5.3,1.9,0.3,3.4,2.9,25.0,,105,113
272,DeAndre Liggins\liggide01,SG,25,MIA,1,0,1,52.6,52.6,1.0,0.0,0.0,,52.6,52.6,1.0,0.0,0.0,,52.6,0.0,52.6,0.0,0.0,0.0,0.0,0.0,105.3,,205,116
356,Quincy Pondexter\pondequ01,SG,25,MEM,15,2,270,6.1,15.6,0.392,2.2,6.7,0.324,4.0,8.9,0.444,4.2,5.1,0.808,2.0,3.2,5.1,4.0,1.0,0.2,3.0,3.6,18.6,,104,110
393,Alexey Shved\shvedal01,SG,25,MIN,63,0,664,5.6,17.6,0.321,2.2,7.6,0.294,3.4,10.0,0.341,5.1,6.7,0.756,1.6,4.5,6.0,5.1,1.9,1.2,3.6,2.7,18.6,,93,107
412,Julyan Stone\stoneju01,SG,25,TOR,21,0,120,3.0,7.4,0.412,0.9,3.5,0.25,2.2,3.9,0.556,0.9,1.3,0.667,0.9,7.8,8.7,5.2,1.3,0.0,2.2,5.7,7.8,,101,106
78,Andrew Bynum\bynuman01,C,26,TOT,26,19,516,9.4,22.5,0.418,0.0,0.0,,9.4,22.5,0.418,3.7,4.9,0.755,5.3,9.2,14.5,2.9,0.6,2.9,3.4,3.1,22.5,,95,105
78,Andrew Bynum\bynuman01,C,26,CLE,24,19,480,9.1,21.8,0.419,0.0,0.0,,9.1,21.8,0.419,3.4,4.5,0.762,5.0,8.5,13.5,2.9,0.6,3.0,3.2,3.0,21.7,,96,106
78,Andrew Bynum\bynuman01,C,26,IND,2,0,36,13.0,31.7,0.409,0.0,0.0,,13.0,31.7,0.409,7.2,10.1,0.714,8.7,18.7,27.4,2.9,0.0,1.4,5.8,4.3,33.2,,93,95
154,Joel Freeland\freeljo01,C,26,POR,52,0,727,5.4,11.3,0.475,0.0,0.1,0.0,5.4,11.1,0.481,1.4,2.0,0.69,6.1,8.4,14.5,2.5,0.7,1.5,2.2,6.6,12.1,,109,107
257,Viacheslav Kravtsov\kravtvi01,C,26,PHO,20,0,59,6.8,12.7,0.533,0.0,0.0,,6.8,12.7,0.533,3.4,6.8,0.5,7.6,6.8,14.4,0.8,0.0,0.8,5.1,5.9,17.0,,98,110
296,JaVale McGee\mcgeeja01,C,26,DEN,5,5,79,10.5,23.5,0.447,0.0,0.0,,10.5,23.5,0.447,0.6,0.6,1.0,6.2,4.3,10.5,1.2,0.6,4.3,5.0,9.9,21.7,,87,108
338,Greg Oden\odengr01,C,26,MIA,23,6,212,6.7,12.2,0.551,0.0,0.0,,6.7,12.2,0.551,3.2,5.7,0.565,5.7,7.7,13.4,0.2,1.7,3.2,3.0,12.9,16.6,,107,102
364,Miroslav Raduljica\radulmi01,C,26,MIL,48,2,465,7.6,14.2,0.54,0.0,0.0,,7.6,14.2,0.54,5.1,6.2,0.818,6.1,6.1,12.1,2.6,0.8,1.5,3.1,9.4,20.4,,117,113
407,Marreese Speights\speigma01,C,26,GSW,79,3,982,9.9,22.5,0.441,0.4,1.6,0.258,9.5,20.9,0.455,5.6,6.8,0.821,5.1,9.6,14.7,1.6,0.5,1.7,3.4,7.5,25.8,,102,103
423,Hasheem Thabeet\thabeha01,C,26,OKC,23,0,192,3.4,6.0,0.565,0.0,0.0,,3.4,6.0,0.565,0.3,1.3,0.2,2.4,8.1,10.5,0.3,1.0,2.4,3.7,12.3,7.1,,76,103
475,Brandan Wright\wrighbr03,C,26,DAL,58,0,1077,10.7,15.8,0.677,0.0,0.0,,10.7,15.8,0.677,3.7,5.1,0.726,4.9,6.8,11.6,1.5,1.5,2.6,1.7,4.5,25.0,,135,107
27,Jeff Ayres\pendeje02,PF,26,SAS,73,10,952,5.4,9.2,0.58,0.0,0.0,,5.4,9.2,0.58,2.0,2.9,0.691,4.7,9.0,13.7,3.2,0.7,1.3,3.3,7.8,12.7,,110,103
58,Trevor Booker\booketr01,PF,26,WAS,72,45,1553,7.4,13.4,0.551,0.0,0.1,0.0,7.4,13.3,0.554,1.6,2.5,0.618,4.9,7.6,12.6,2.1,1.4,1.5,1.9,4.3,16.3,,114,104
93,Earl Clark\clarkea01,PF,26,TOT,54,17,768,6.5,17.6,0.372,2.8,8.2,0.336,3.8,9.4,0.403,1.5,2.3,0.647,1.5,8.1,9.6,1.2,1.1,1.7,2.1,4.5,17.3,,92,107
93,Earl Clark\clarkea01,PF,26,CLE,45,17,698,6.6,17.7,0.375,3.0,8.6,0.345,3.7,9.2,0.403,1.0,1.8,0.583,1.5,7.9,9.4,1.2,1.2,1.4,2.2,4.5,17.3,,91,107
93,Earl Clark\clarkea01,PF,26,NYK,9,0,70,5.3,16.0,0.333,0.8,4.6,0.167,4.6,11.4,0.4,6.1,7.6,0.8,1.5,10.6,12.2,1.5,0.8,4.6,0.8,4.6,17.5,,102,105
108,Dante Cunningham\cunnida01,PF,26,MIN,81,7,1635,7.1,15.4,0.464,0.0,0.2,0.0,7.1,15.2,0.468,1.1,2.0,0.567,3.4,6.6,10.0,2.5,1.9,1.7,1.3,4.4,15.4,,104,105
206,Jordan Hill\hilljo01,PF,26,LAL,72,32,1500,9.3,16.9,0.549,0.0,0.0,0.0,9.3,16.9,0.55,4.0,5.9,0.685,6.3,11.1,17.3,1.8,0.9,2.1,2.4,5.6,22.6,,115,108
218,Ersan Ilyasova\ilyaser01,PF,26,MIL,55,47,1478,8.4,20.5,0.409,1.3,4.6,0.282,7.1,15.9,0.446,3.8,4.6,0.823,3.8,8.3,12.1,2.5,1.6,0.3,2.2,4.8,21.9,,103,111
