Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_,_3P,_3PA,_3P_,_2P,_2PA,_2P_,FT,FTA,FT_,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,string_field_29,ORtg,DRtg
528,Nate Wolters\woltena01,PG,26,UTA,5,0,19,2.6,15.8,0.167,0.0,0.0,,2.6,15.8,0.167,0.0,0.0,,2.6,2.6,5.3,2.6,0.0,0.0,0.0,2.6,5.3,,58,112
71,Lorenzo Brown\brownlo01,PG,27,TOR,14,0,139,5.0,12.1,0.412,0.7,4.3,0.167,4.3,7.8,0.545,0.7,0.7,1.0,0.4,5.0,5.3,4.6,1.8,0.0,1.1,2.5,11.3,,102,108
128,Matthew Dellavedova\dellama01,PG,27,MIL,38,3,712,3.9,10.6,0.362,2.0,5.5,0.372,1.8,5.2,0.351,1.8,1.9,0.926,1.0,3.5,4.5,10.2,1.0,0.0,3.4,4.7,11.5,,104,115
139,Larry Drew\drewla02,PG,27,TOT,10,0,70,4.8,16.4,0.292,2.0,6.1,0.333,2.7,10.2,0.267,0.0,0.0,,2.0,0.0,2.0,6.8,0.0,0.0,2.0,4.1,11.6,,87,117
139,Larry Drew\drewla02,PG,27,PHI,3,0,15,3.2,22.4,0.143,0.0,9.6,0.0,3.2,12.8,0.25,0.0,0.0,,3.2,0.0,3.2,6.4,0.0,0.0,3.2,6.4,6.4,,51,114
139,Larry Drew\drewla02,PG,27,NOP,7,0,55,5.2,14.8,0.353,2.6,5.2,0.5,2.6,9.5,0.273,0.0,0.0,,1.7,0.0,1.7,6.9,0.0,0.0,1.7,3.5,13.0,,101,118
165,Tim Frazier\fraziti01,PG,27,WAS,59,11,838,4.0,10.2,0.395,1.0,3.3,0.304,3.0,6.9,0.44,1.4,1.8,0.767,1.1,5.7,6.8,11.5,2.8,0.4,3.4,5.7,10.4,,105,107
247,Reggie Jackson\jacksre01,PG,27,DET,45,45,1201,10.2,24.0,0.426,2.2,7.0,0.308,8.1,16.9,0.475,4.7,5.6,0.836,1.2,4.0,5.2,9.9,1.1,0.2,4.1,3.6,27.2,,105,111
249,Mike James\jamesmi02,PG,27,TOT,36,10,687,8.6,22.4,0.383,1.8,6.8,0.265,6.8,15.5,0.435,4.5,5.9,0.762,0.9,5.4,6.3,8.8,2.0,0.5,3.4,3.3,23.4,,99,113
249,Mike James\jamesmi02,PG,27,PHO,32,10,669,8.7,22.3,0.388,1.9,6.9,0.268,6.8,15.4,0.442,4.6,6.0,0.762,0.9,5.5,6.4,8.6,1.9,0.5,3.4,3.2,23.8,,100,113
249,Mike James\jamesmi02,PG,27,NOP,4,0,18,5.3,23.9,0.222,0.0,2.7,0.0,5.3,21.2,0.25,0.0,0.0,,2.7,0.0,2.7,15.9,2.7,0.0,2.7,8.0,10.6,,77,111
298,Damian Lillard\lillada01,PG,27,POR,73,73,2670,11.6,26.4,0.439,4.2,11.7,0.361,7.3,14.6,0.501,9.2,10.0,0.916,1.2,4.9,6.1,9.0,1.4,0.5,3.8,2.2,36.6,,120,109
309,Shelvin Mack\macksh01,PG,27,ORL,69,3,1365,6.4,14.8,0.43,1.7,5.0,0.345,4.7,9.9,0.473,2.5,3.5,0.711,0.8,5.1,6.0,9.8,1.9,0.3,3.2,3.3,17.0,,106,111
436,Ricky Rubio\rubiori01,PG,27,UTA,77,77,2254,7.7,18.4,0.418,2.1,6.1,0.352,5.6,12.3,0.451,4.9,5.7,0.866,1.0,6.8,7.8,9.1,2.7,0.2,4.6,4.6,22.4,,105,103
497,Kemba Walker\walkeke02,PG,27,CHO,80,80,2736,10.5,24.3,0.431,4.1,10.7,0.384,6.4,13.6,0.469,6.5,7.5,0.864,0.6,3.9,4.4,7.9,1.6,0.4,3.2,1.7,31.6,,115,111
498,John Wall\walljo01,PG,27,WAS,41,41,1410,9.9,23.5,0.42,2.2,5.9,0.371,7.7,17.6,0.436,6.2,8.5,0.726,0.8,4.5,5.3,13.8,2.0,1.6,5.6,2.8,28.1,,105,108
52,Eric Bledsoe\bledser01,PG,28,TOT,74,74,2322,10.0,21.2,0.473,2.7,7.7,0.347,7.4,13.5,0.545,5.4,6.8,0.795,1.1,5.0,6.1,7.9,3.2,0.9,4.6,4.0,28.2,,109,108
52,Eric Bledsoe\bledser01,PG,28,PHO,3,3,83,9.2,23.1,0.4,2.3,7.5,0.308,6.9,15.6,0.444,6.3,8.1,0.786,1.7,2.3,4.0,5.2,2.3,1.2,5.8,3.5,27.1,,94,113
52,Eric Bledsoe\bledser01,PG,28,MIL,71,71,2239,10.1,21.1,0.476,2.7,7.7,0.349,7.4,13.4,0.55,5.4,6.7,0.795,1.1,5.1,6.2,8.0,3.2,0.9,4.6,4.0,28.2,,109,108
80,Dwight Buycks\buyckdw01,PG,28,DET,29,0,427,9.6,23.1,0.414,1.8,5.3,0.333,7.8,17.9,0.438,4.2,4.8,0.878,1.4,3.4,4.8,6.9,2.2,0.2,4.6,4.6,25.1,,97,109
127,Malcolm Delaney\delanma01,PG,28,ATL,54,3,1014,5.3,13.7,0.382,2.2,6.0,0.371,3.0,7.8,0.391,3.6,4.4,0.804,0.4,4.4,4.8,7.9,1.7,0.3,3.2,4.0,16.3,,104,113
152,Tyreke Evans\evansty01,PG,28,MEM,52,32,1607,11.5,25.5,0.452,3.6,9.0,0.399,7.9,16.5,0.482,5.2,6.6,0.785,1.4,7.0,8.3,8.5,1.8,0.5,3.7,3.0,31.8,,111,111
252,Brandon Jennings\jennibr01,PG,28,MIL,14,0,205,6.6,17.5,0.375,2.2,8.0,0.273,4.4,9.5,0.462,2.4,2.4,1.0,1.2,6.3,7.5,10.7,1.5,1.0,4.4,2.7,17.8,,99,111
310,Josh Magette\magetjo01,PG,28,ATL,18,0,216,3.4,10.4,0.326,1.8,5.0,0.364,1.6,5.4,0.292,1.8,1.8,1.0,0.5,3.8,4.3,12.9,1.8,0.2,2.0,3.6,10.4,,116,113
415,Jacob Pullen\pulleja01,PG,28,PHI,3,0,6,8.0,16.0,0.5,0.0,8.0,0.0,8.0,8.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,16.0,,60,114
477,Isaiah Thomas\thomais02,PG,28,TOT,32,15,862,8.8,23.6,0.373,3.1,10.5,0.293,5.7,13.1,0.438,6.6,7.4,0.893,1.0,2.8,3.8,8.6,0.8,0.2,5.3,3.3,27.3,,99,115
477,Isaiah Thomas\thomais02,PG,28,CLE,15,14,406,8.4,23.4,0.361,2.7,10.5,0.253,5.8,12.9,0.449,7.1,8.2,0.868,0.8,2.9,3.7,8.2,1.1,0.2,4.9,3.0,26.7,,98,116
477,Isaiah Thomas\thomais02,PG,28,LAL,17,1,456,9.1,23.8,0.383,3.5,10.6,0.327,5.7,13.2,0.429,6.1,6.6,0.921,1.0,2.7,3.8,8.9,0.6,0.1,5.7,3.5,27.8,,100,114
120,Stephen Curry\curryst01,PG,29,GSW,51,51,1631,12.6,25.5,0.495,6.3,14.8,0.423,6.4,10.7,0.595,8.2,8.9,0.921,1.1,6.6,7.7,9.2,2.4,0.2,4.5,3.4,39.8,,125,108
299,Jeremy Lin\linje01,PG,29,BRK,1,1,25,9.7,23.3,0.417,1.9,3.9,0.5,7.8,19.4,0.4,13.6,13.6,1.0,0.0,0.0,0.0,7.8,0.0,0.0,5.8,5.8,35.0,,110,119
340,Patty Mills\millspa02,PG,29,SAS,82,36,2107,6.7,16.4,0.411,3.7,9.9,0.372,3.0,6.4,0.47,2.5,2.8,0.89,0.6,3.1,3.7,5.5,1.3,0.3,2.5,3.1,19.6,,109,109
433,Derrick Rose\rosede01,PG,29,TOT,25,7,420,9.5,21.8,0.435,0.8,3.5,0.233,8.7,18.3,0.474,4.7,5.4,0.87,1.5,2.6,4.1,4.3,0.8,0.5,4.1,1.9,24.5,,97,116
433,Derrick Rose\rosede01,PG,29,CLE,16,7,308,9.2,21.0,0.439,1.0,3.8,0.25,8.3,17.2,0.481,5.6,6.5,0.854,1.6,3.0,4.6,4.1,0.5,0.6,4.5,2.2,25.0,,97,117
433,Derrick Rose\rosede01,PG,29,MIN,9,0,112,10.3,24.1,0.426,0.4,2.7,0.167,9.8,21.4,0.458,2.2,2.2,1.0,1.3,1.3,2.7,4.9,1.8,0.0,3.1,0.9,23.2,,94,115
